client_id,Variation
4033851,Control
9294070,Control
6651403,Control
2105948,Control
9814849,Control
7286739,Control
4446011,Control
4229407,Control
2842481,Control
1218661,Control
1712929,Control
800925,Control
1242238,Control
9477476,Control
1338778,Control
6584990,Control
7040762,Control
5169372,Control
5267250,Control
3751049,Control
9912156,Control
229701,Control
2818303,Control
9358626,Control
4773291,Control
4953263,Control
3754789,Control
3066535,Control
9545426,Control
4778144,Control
2000786,Control
6986475,Control
7996704,Control
4213800,Control
1763518,Control
2437471,Control
7289266,Control
598943,Control
8861901,Control
6853744,Control
1404893,Control
9336495,Control
4744361,Control
9628154,Control
9293919,Control
2565373,Control
6071019,Control
8188670,Control
6216233,Control
4747144,Control
8313694,Control
2679453,Control
7276973,Control
5256566,Control
1342790,Control
2769120,Control
8870709,Control
2145511,Control
461846,Control
4878112,Control
9414396,Control
6650565,Control
2062199,Control
7112284,Control
6141432,Control
2015197,Control
5429577,Control
1636347,Control
4577314,Control
6283739,Control
1423857,Control
2040881,Control
6547909,Control
203702,Control
2336869,Control
3638107,Control
391025,Control
7636277,Control
868124,Control
559169,Control
2276090,Control
3036660,Control
5546524,Control
7474517,Control
452583,Control
945176,Control
2889049,Control
668996,Control
8076294,Control
2797397,Control
6480779,Control
7340414,Control
5163125,Control
5821983,Control
1884538,Control
841242,Control
872142,Control
617840,Control
1929698,Control
965266,Control
8424645,Control
6819326,Control
2475049,Control
3081313,Control
493311,Control
8416851,Control
2852997,Control
9707270,Control
4772716,Control
9888375,Control
3827180,Control
1970830,Control
1640688,Control
8068308,Control
4638153,Control
1788838,Control
9997114,Control
3286605,Control
1064690,Control
2038707,Control
297472,Control
2160702,Control
2289897,Control
6960009,Control
2057773,Control
7523181,Control
860745,Control
219230,Control
3369137,Control
7479054,Control
4384098,Control
7582150,Control
3520993,Control
5645966,Control
9378146,Control
7007069,Control
3310785,Control
7423412,Control
588240,Control
7699381,Control
7046133,Control
6456062,Control
4823947,Control
8860992,Control
530654,Control
3347759,Control
7873338,Control
8696517,Control
3968370,Control
6597561,Control
7973780,Control
5119497,Control
3155140,Control
4827059,Control
304982,Control
9059531,Control
133101,Control
8988721,Control
6224299,Control
3217890,Control
9403921,Control
2356366,Control
453167,Control
372523,Control
7087847,Control
7422759,Control
5417457,Control
863704,Control
7441896,Control
4101033,Control
1180583,Control
413157,Control
7448926,Control
2657900,Control
4514754,Control
1673947,Control
3413971,Control
85097,Control
2262795,Control
8825647,Control
7337058,Control
3498908,Control
4630285,Control
8184247,Control
7787684,Control
4247007,Control
8620721,Control
1818956,Control
2211868,Control
3584819,Control
6303538,Control
897477,Control
8003648,Control
5456658,Control
2333006,Control
8277940,Control
4239711,Control
9635244,Control
9797297,Control
5176958,Control
1651697,Control
9103724,Control
7873226,Control
323950,Control
6781849,Control
7430424,Control
7458004,Control
5896556,Control
993682,Control
4036374,Control
8750191,Control
9004679,Control
4342700,Control
3011265,Control
6450029,Control
1314809,Control
7375067,Control
8604038,Control
2617114,Control
3436975,Control
3362712,Control
42296,Control
3695514,Control
1192384,Control
4590361,Control
1928906,Control
512833,Control
9089805,Control
2888193,Control
4778460,Control
6346672,Control
8283444,Control
4390568,Control
5848027,Control
8337830,Control
3045158,Control
6747525,Control
7258442,Control
1486118,Control
7037852,Control
6767637,Control
8735726,Control
1983898,Control
8930597,Control
1892008,Control
1468125,Control
3025507,Control
9842475,Control
4343885,Control
7475482,Control
8526665,Control
9865882,Control
4717090,Control
3412472,Control
4448805,Control
9231655,Control
5027124,Control
1432979,Control
3671491,Control
9748979,Control
9513138,Control
2681612,Control
851930,Control
6833110,Control
4960901,Control
209511,Control
741785,Control
2855888,Control
9083686,Control
2645953,Control
903457,Control
2763314,Control
5212054,Control
1344819,Control
8681644,Control
2675819,Control
8852099,Control
2900782,Control
2963107,Control
8862044,Control
7433366,Control
133487,Control
4503552,Control
3089722,Control
9641810,Control
6332820,Control
2623927,Control
7878552,Control
7633966,Control
3502824,Control
1399670,Control
1696504,Control
7597104,Control
4211505,Control
3982600,Control
3387907,Control
4857096,Control
5240348,Control
9219098,Control
6521093,Control
3421393,Control
2025761,Control
6740819,Control
6053599,Control
7606536,Control
3206726,Control
2128160,Control
1194245,Control
8295735,Control
312984,Control
2839247,Control
5732744,Control
5363445,Control
6981798,Control
8031718,Control
1262291,Control
8770403,Control
1348442,Control
3861702,Control
4693102,Control
9542428,Control
4608580,Control
2263719,Control
8555070,Control
2787512,Control
9534176,Control
7460349,Control
8501430,Control
7804581,Control
8095423,Control
6374406,Control
9837096,Control
9112089,Control
7887156,Control
743037,Control
3825646,Control
9696533,Control
4743022,Control
6033805,Control
7690775,Control
466526,Control
5688104,Control
1410997,Control
6662941,Control
625038,Control
2502567,Control
2570257,Control
8117339,Control
9292612,Control
9624621,Control
5670374,Control
5520127,Control
8360249,Control
4825054,Control
5619517,Control
2044540,Control
8213521,Control
5593356,Control
1011972,Control
6559023,Control
1255014,Control
3314416,Control
8219792,Control
4577049,Control
4202537,Control
8792675,Control
3030274,Control
5395303,Control
122493,Control
1181698,Control
9265934,Control
9441056,Control
9017041,Control
2815061,Control
8550901,Control
6586655,Control
435580,Control
6461191,Control
6670730,Control
3861021,Control
4052287,Control
8512863,Control
9749944,Control
5819620,Control
1790923,Control
6097361,Control
7105238,Control
981261,Control
3976933,Control
8627399,Control
1033888,Control
7512282,Control
5569364,Control
7977593,Control
8470878,Control
7303592,Control
2465426,Control
4635518,Control
8605014,Control
9382137,Control
5328442,Control
