client_id,visitor_id,visit_id,process_step,date_time
3561384,451664975_1722933822,100012776_37918976071_457913,confirm,2017-04-26 13:22:17
9056452,306992881_89423906595,1000165_4190026492_760066,confirm,2017-06-04 01:09:50
7338123,612065484_94198474375,100019538_17884295066_43909,confirm,2017-04-09 16:24:58
2478628,754122351_18568832435,100022086_87870757897_149620,confirm,2017-05-23 20:47:01
5303781,817384618_23455993918,100034012_10293842356_627828,confirm,2017-06-06 14:08:29
2848373,66514700_31923440179,100065579_58979991824_496649,confirm,2017-04-15 14:33:28
3479519,194422203_56127484794,10006594_66157970412_679648,confirm,2017-04-13 11:56:12
8413245,61752232_53515470198,100075378_35009209505_135399,confirm,2017-06-03 20:15:31
5477656,164180384_39691984082,10007589_47780784567_391490,confirm,2017-05-18 08:03:33
529153,358679109_67662330057,100100247_25668133240_318122,confirm,2017-06-03 16:21:40
4456733,601916093_64335207773,100120278_95743019653_642729,confirm,2017-04-03 19:25:07
5108717,70145913_44783341760,100154767_60541320490_163313,confirm,2017-03-29 13:41:44
3061556,54742340_10443362363,100165170_70624318404_468222,confirm,2017-06-12 14:27:51
1409869,142747524_90273662602,100173185_24313831195_350873,confirm,2017-06-14 11:24:22
8631696,429350107_31978453627,100173292_91322748906_143563,confirm,2017-04-25 10:30:30
6789374,19782210_86170212999,100175041_74207131497_750935,confirm,2017-05-25 03:16:20
2029202,369331440_97107742514,100215152_57349471249_380824,confirm,2017-04-02 22:06:13
9341024,750259984_64435904859,100217156_67053490690_383412,confirm,2017-04-12 12:08:09
1848434,796394319_81197044162,10024342_90161571674_624251,confirm,2017-06-18 11:48:29
984526,101850349_35918274798,100254180_47139859079_984581,confirm,2017-04-05 21:47:43
1562128,297078435_42288608841,100258507_71262593004_214494,confirm,2017-03-29 12:48:24
8976740,417178847_68724546639,100293270_70949014562_696814,confirm,2017-04-18 14:17:20
4705625,576911577_18066155082,100305981_67019648194_947890,confirm,2017-06-11 21:47:59
621133,716229441_13845192758,100308546_34119659930_873121,confirm,2017-06-08 11:24:33
7224020,749093873_67448715439,100309269_21684743336_936307,confirm,2017-04-16 06:23:54
9303476,674797268_16453086462,10032049_71218516078_25226,confirm,2017-06-02 12:48:29
2540907,163947765_50217741658,100321067_78502191718_46799,confirm,2017-03-29 11:34:39
4233988,805171658_18644682161,100344511_33820781684_859601,confirm,2017-04-13 12:40:12
8923214,304773076_89920665760,100350039_728221777_171809,confirm,2017-06-01 14:52:56
3224080,657245084_40826613292,100350617_68971395770_142247,confirm,2017-05-09 19:42:29
794451,180957927_39920037620,100356097_19145134647_748623,confirm,2017-06-04 21:12:33
6679839,916895804_31186863891,100366529_79795075511_154302,confirm,2017-06-07 11:46:40
8079762,901464056_49559202015,10039918_34445807880_349053,confirm,2017-04-12 17:10:08
8529521,687024928_25617825860,100405724_2138177231_62262,confirm,2017-06-07 15:28:25
8204131,598807844_73320098076,100407783_795192634_106863,confirm,2017-05-24 22:15:36
543460,567742582_55124904954,100412222_23957663994_946900,confirm,2017-04-05 11:38:37
9035567,52312531_84058623430,100421687_80491976886_889768,confirm,2017-06-07 21:24:12
5099064,933006023_113239411,10042488_58150798978_425699,confirm,2017-06-16 06:48:30
9523769,408539676_36361018251,100444082_80791555135_896130,confirm,2017-05-29 08:20:21
7134511,578404405_55338411579,100464353_1817978529_104135,confirm,2017-04-12 11:39:58
1401260,929814718_67227394329,100469263_52784691226_547636,confirm,2017-06-12 13:04:46
3673713,329225835_32749870783,100471971_3065983298_584030,confirm,2017-05-04 07:53:11
5778222,305362009_96003601075,100473010_17185510990_390571,confirm,2017-06-10 16:14:34
3393250,796176251_17286375741,100475449_39139591577_836652,confirm,2017-04-04 09:21:46
6235268,576826051_41603257498,100481857_71511233596_788753,confirm,2017-04-25 18:28:44
4300596,111633079_15864915803,100512922_84941901144_255055,confirm,2017-05-29 09:47:59
4011169,6326360_32825506249,100524089_83009232531_387379,confirm,2017-03-29 11:13:59
26196,965901550_39146293927,100536615_62991490409_309105,confirm,2017-05-25 14:03:33
663873,419794502_74886871193,100559681_42553631610_873319,confirm,2017-04-01 15:12:12
1545935,976873968_42239039722,10056419_61656665964_803695,confirm,2017-06-20 23:21:23
1371234,867472200_23385355015,100584536_83071426805_540418,confirm,2017-06-20 16:48:33
8860154,171628625_71529959986,100608591_65788886975_921579,confirm,2017-06-18 09:35:41
9024098,375276685_93231622254,10061723_9102581635_940424,confirm,2017-06-09 17:45:13
4389198,729937373_63248482072,100618014_41463020246_787063,confirm,2017-05-11 09:13:00
5795666,595791484_63587165188,100633464_91127475387_880977,confirm,2017-05-26 20:15:07
5256253,689874918_61592833143,100637511_56874687610_230645,confirm,2017-06-07 13:54:16
7961846,419314560_17028512726,10064646_64600497611_754057,confirm,2017-04-13 07:50:49
6829143,74881243_22939977030,10065836_96534697180_389104,confirm,2017-04-17 16:49:57
6113512,209770946_46211947778,100673955_73725133137_121190,confirm,2017-06-06 10:06:47
8105435,816490820_25437193828,100716259_17959391965_313094,confirm,2017-06-20 16:22:35
1049182,846540882_80547368808,100720388_28528122421_798314,confirm,2017-06-07 18:01:50
6812790,124354726_57657221834,100729654_67224608346_509127,confirm,2017-06-15 11:11:50
9956593,796366357_61502526993,100733473_61604582110_215085,confirm,2017-04-17 17:18:19
5392133,823279255_2921941784,100738555_11362326861_913293,confirm,2017-04-02 14:24:12
5730234,558636796_82213000262,100742196_25888718318_18393,confirm,2017-03-31 13:41:17
6639982,811528578_29208914652,100747416_16683340433_506723,confirm,2017-05-24 12:35:56
2211630,854157384_79214001027,100751264_35071231525_844320,confirm,2017-03-29 11:39:22
8975499,608480183_24384684710,100758381_89232150997_752407,confirm,2017-06-08 22:21:20
9886162,771235499_63497281090,100762504_13289430422_745035,confirm,2017-03-29 21:06:16
3467432,489428393_80814260142,100768839_4432812320_405870,confirm,2017-04-08 12:15:23
916369,558452417_7504499072,100787296_75463077257_149957,confirm,2017-05-03 16:34:25
2060326,719485762_12608113429,100844233_60058998075_722846,confirm,2017-04-03 12:29:44
8629810,798721723_31660916016,100861237_69871595981_479602,confirm,2017-04-02 12:11:29
9983873,211760878_52599568101,100875163_17314151095_983533,confirm,2017-04-07 10:23:04
2646302,696784339_19434322742,100898867_17112389945_930968,confirm,2017-06-05 22:41:53
3890068,431046799_63780722352,100906852_52906078551_273805,confirm,2017-04-03 15:14:25
7922438,75702425_29370405984,100911179_58982643631_833777,confirm,2017-04-10 16:22:15
4723907,715875853_79917951786,10092745_80785622243_794414,confirm,2017-05-25 07:47:03
3272226,84157994_57679722832,100940549_99510656_854293,confirm,2017-04-15 11:28:27
288350,490189976_95584517144,100952948_77681780860_858472,confirm,2017-05-24 12:34:57
8737837,490189976_95584517144,100952948_77681780860_858472,confirm,2017-05-24 12:31:49
7094819,349004165_24959552239,100956087_15269034223_493211,confirm,2017-05-11 06:53:16
8396295,838780793_40086904262,100979922_49960042380_814364,confirm,2017-06-16 21:02:01
4337769,709444316_87034594669,100982387_94833499276_254813,confirm,2017-03-31 11:35:14
942896,468136757_13704551082,100995466_7789612733_596938,confirm,2017-03-30 08:36:52
6499939,646801822_38650939791,101003461_88489929721_487298,confirm,2017-06-06 00:41:18
1859324,667673044_85224638610,101010672_97902642269_347403,confirm,2017-05-11 21:33:41
7761531,226368882_49634609843,101011654_3078115058_237331,confirm,2017-04-04 23:06:42
4318876,802366088_8463149201,101030486_64770311115_334089,confirm,2017-04-04 21:35:20
4872296,296844421_28652006376,101044356_76156470213_615044,confirm,2017-06-16 20:40:41
5753435,682757673_86259275428,10107242_10184243974_641900,confirm,2017-04-23 12:14:24
4411687,865069697_6673741643,10107698_28667970917_707553,confirm,2017-06-01 15:59:44
2399476,584236413_16309955807,101095774_33925969343_898436,confirm,2017-06-03 16:29:31
457662,397133136_3496725513,101097993_77471429118_119089,confirm,2017-05-05 21:00:41
5005499,335554301_21568024678,101099254_29086579093_380079,confirm,2017-06-05 13:34:45
6762377,211802240_55658786292,10111418_59591388284_939024,confirm,2017-03-30 15:54:10
4871055,836089173_74799476509,101120116_70489660261_84827,confirm,2017-04-23 00:41:56
8077722,165582823_94099595370,101124080_58484509502_350188,confirm,2017-06-06 15:27:45
5102064,648474362_94865778040,101127163_76213781950_64100,confirm,2017-04-15 16:48:21
7663237,931707709_72096842819,101135245_54571871282_52616,confirm,2017-06-03 23:27:03
174238,658583569_78036299439,101140215_44015987399_153386,confirm,2017-04-16 22:39:20
3351016,840147601_89549102441,101143883_71782939078_772553,confirm,2017-05-28 12:26:02
4730670,574871665_32193320259,101149463_66908052434_99322,confirm,2017-06-10 10:46:06
9688490,321704830_22135724496,101164111_54194506663_944644,confirm,2017-04-15 19:28:24
5785265,536847815_41126095878,101180187_43207153698_230695,confirm,2017-04-19 16:27:59
9856460,21652353_38416529401,101191146_31749276726_65880,confirm,2017-06-17 22:43:13
4859895,901538476_7595202511,101192871_71393166874_916832,confirm,2017-06-20 11:01:53
7283780,252452092_6621729838,101219916_22051718303_962865,confirm,2017-06-04 14:44:53
4688094,392358825_4071123390,101278783_88593103676_148729,confirm,2017-05-26 15:43:11
5189898,317454632_88606112725,101299207_34352941387_283858,confirm,2017-03-29 11:42:55
2086680,71233106_35990134617,10132415_28171840649_223256,confirm,2017-05-12 18:55:06
6884969,837557685_56073645892,101350486_98065973492_193676,confirm,2017-06-19 23:33:01
7795550,370148491_10861944232,101351075_24045289214_506540,confirm,2017-04-18 20:37:20
1187711,823640424_61722374417,101353522_64535639660_69005,confirm,2017-04-02 14:47:41
1786617,696840515_89017335926,101353614_61442917806_248935,confirm,2017-03-28 20:10:45
2669220,517125446_68488488661,101357844_12938689714_163686,confirm,2017-06-01 11:31:08
449389,772866687_43359449275,101376045_84500713995_380860,confirm,2017-06-01 12:26:39
1848482,959825696_75310468352,101376317_95333063988_10689,confirm,2017-05-18 08:02:42
6712959,42668369_61480071518,10138358_95400805361_859397,confirm,2017-05-24 18:40:34
6446363,739479428_1803291083,101389230_14746485715_507991,confirm,2017-05-22 08:31:58
859069,174346824_41267062884,101392314_91331340315_841624,confirm,2017-04-16 14:54:56
4608390,216087150_71553767279,101394014_32333012893_132843,confirm,2017-06-02 10:09:37
1081053,970966559_46421948615,101408274_83323210000_712241,confirm,2017-04-14 13:15:14
4167905,420905980_25301643471,101420660_70864320063_268486,confirm,2017-04-11 20:46:57
8902430,227637466_97233483946,101430298_69072505500_555518,confirm,2017-05-16 09:57:48
9879903,93129086_80102228991,101441742_97785892973_347664,confirm,2017-06-09 13:07:44
5060980,384090718_59284164647,101443588_38539502180_993540,confirm,2017-03-22 22:41:32
9034972,842661402_36385323864,101455413_51405592998_324558,confirm,2017-06-14 20:22:43
7866354,425718091_64742635758,10146625_55092448080_942181,confirm,2017-04-12 12:26:42
3219139,87495372_59647461574,101473676_74672436879_911352,confirm,2017-06-12 20:59:38
